DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       EPOCH_TIME                ALARM_STATUS              INST_STATUS               CH4_high_precision        CH4_high_range            CH4                       CH4_dry                   C2H6                      C2H6_dry                  C2C1ratio                 H2O                       CavityPressure            CavityTemp                GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   CavityPressure            CavityTemp                Battery_Current           Battery_Temperature       Battery_Voltage           SpectrumID                GPS_ALTITUDE              GPS_TIME                  
2021-08-06                19:33:37.030              217.48167860              5219.560286               1628278417.031            2                         899                       1.9568688914E+00          0.0000000000E+00          1.9568688914E+00          2.0027464716E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5972032795E+00          4.4954628725E+02          3.5911552429E+01          4.2817138333E+01          -8.3517351667E+01         2.0000000000E+00          4.4954628725E+02          3.5911552429E+01          -1.5525393339E+00         4.2367507935E+01          1.9059478736E+01          2.3000000000E+01          3.4332629063E+02          7.0395737094E+04          
2021-08-06                19:33:37.591              217.48168508              5219.560442               1628278417.591            2                         899                       1.9538460596E+00          0.0000000000E+00          1.9538460596E+00          1.9992197010E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5732058289E+00          4.4958364868E+02          3.5911552429E+01          4.2817138809E+01          -8.3517351667E+01         2.0000000000E+00          4.4958364868E+02          3.5911552429E+01          -1.5005950928E+00         4.2367507935E+01          1.9058256149E+01          2.3000000000E+01          3.4330000000E+02          7.0396285571E+04          
2021-08-06                19:33:38.075              217.48169069              5219.560577               1628278418.076            2                         899                       1.9677767055E+00          0.0000000000E+00          1.9677767055E+00          2.0123883345E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5134352730E+00          4.4958364868E+02          3.5911552429E+01          4.2817139619E+01          -8.3517351667E+01         2.0000000000E+00          4.4958364868E+02          3.5911552429E+01          -1.5005950928E+00         4.2367507935E+01          1.9058256149E+01          2.3000000000E+01          3.4330000000E+02          7.0396771543E+04          
2021-08-06                19:33:38.592              217.48169668              5219.560720               1628278418.593            2                         899                       1.9541219998E+00          0.0000000000E+00          1.9541219998E+00          1.9988953340E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5395735639E+00          4.5010543371E+02          3.5911552429E+01          4.2817140000E+01          -8.3517351667E+01         2.0000000000E+00          4.5010543371E+02          3.5911552429E+01          -1.5005950928E+00         4.2367507935E+01          1.9058256149E+01          2.3000000000E+01          3.4330000000E+02          7.0397293998E+04          
2021-08-06                19:33:39.128              217.48170287              5219.560869               1628278419.128            0                         899                       1.9689600866E+00          0.0000000000E+00          1.9689600866E+00          2.0129575926E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.4781343569E+00          4.5039849062E+02          3.5912904245E+01          4.2817140000E+01          -8.3517351667E+01         2.0000000000E+00          4.5039849062E+02          3.5912904245E+01          -1.4839568535E+00         4.2367507935E+01          1.9057334900E+01          2.3000000000E+01          3.4330000000E+02          7.0397838250E+04          
2021-08-06                19:33:39.627              217.48170865              5219.561008               1628278419.627            0                         899                       1.9662215665E+00          0.0000000000E+00          1.9662215665E+00          2.0100821498E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.4739562279E+00          4.5043667603E+02          3.5913139343E+01          4.2817140000E+01          -8.3517352243E+01         2.0000000000E+00          4.5043667603E+02          3.5913139343E+01          -1.4810632467E+00         4.2367507935E+01          1.9057174683E+01          2.3000000000E+01          3.4330000000E+02          7.0398345880E+04          
2021-08-06                19:33:40.122              217.48171439              5219.561145               1628278420.123            2                         899                       1.9638437849E+00          0.0000000000E+00          1.9638437849E+00          2.0092236574E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5607454110E+00          4.5044469198E+02          3.5913139343E+01          4.2817140000E+01          -8.3517353084E+01         2.0000000000E+00          4.5044469198E+02          3.5913139343E+01          -1.4810632467E+00         4.2367507935E+01          1.9057174683E+01          2.3000000000E+01          3.4330000000E+02          7.0398850458E+04          
2021-08-06                19:33:40.674              217.48172078              5219.561299               1628278420.675            2                         899                       1.9611162072E+00          0.0000000000E+00          1.9611162072E+00          2.0059978133E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5367014050E+00          4.5046208549E+02          3.5913139343E+01          4.2817141353E+01          -8.3517353333E+01         2.0000000000E+00          4.5046208549E+02          3.5913139343E+01          -1.4967369503E+00         4.2367507935E+01          1.9056481326E+01          2.3000000000E+01          3.4330000000E+02          7.0399405812E+04          
2021-08-06                19:33:41.312              217.48172815              5219.561476               1628278421.312            2                         899                       1.9587719731E+00          0.0000000000E+00          1.9587719731E+00          2.0032487963E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5172728062E+00          4.5046779529E+02          3.5913139343E+01          4.2817143404E+01          -8.3517353333E+01         2.0000000000E+00          4.5046779529E+02          3.5913139343E+01          -1.5787224770E+00         4.2367507935E+01          1.9052854538E+01          2.3000000000E+01          3.4330000000E+02          7.0400042105E+04          
2021-08-06                19:33:41.855              217.48173444              5219.561627               1628278421.856            2                         899                       1.9549640929E+00          0.0000000000E+00          1.9549640929E+00          1.9991710057E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5071000028E+00          4.5046423340E+02          3.5913139343E+01          4.2817144271E+01          -8.3517353333E+01         2.0000000000E+00          4.5046423340E+02          3.5913139343E+01          -1.5787224770E+00         4.2367507935E+01          1.9052854538E+01          2.3000000000E+01          3.4330000000E+02          7.0400562679E+04          
2021-08-06                19:33:42.348              217.48174015              5219.561764               1628278422.349            0                         899                       1.9571419233E+00          0.0000000000E+00          1.9571419233E+00          2.0003926583E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.4513744477E+00          4.5046310236E+02          3.5913139343E+01          4.2817145000E+01          -8.3517353333E+01         2.0000000000E+00          4.5046310236E+02          3.5913139343E+01          -1.6088842801E+00         4.2367507935E+01          1.9054259029E+01          2.3000000000E+01          3.4330000000E+02          7.0401000000E+04          
2021-08-06                19:33:42.857              217.48174603              5219.561905               1628278422.857            0                         899                       1.9569465534E+00          0.0000000000E+00          1.9569465534E+00          1.9999257001E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.4365500804E+00          4.5081604908E+02          3.5913139343E+01          4.2817150365E+01          -8.3517356910E+01         2.0000000000E+00          4.5081604908E+02          3.5913139343E+01          -1.5420098349E+00         4.2367507935E+01          1.9051066646E+01          2.3000000000E+01          3.4330000000E+02          7.0401536489E+04          
2021-08-06                19:33:43.365              217.48175192              5219.562046               1628278423.366            2                         899                       1.9644219810E+00          0.0000000000E+00          1.9644219810E+00          2.0094904278E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5428343230E+00          4.5088092606E+02          3.5913139343E+01          4.2817155463E+01          -8.3517360264E+01         2.0000000000E+00          4.5088092606E+02          3.5913139343E+01          -1.5266375542E+00         4.2367507935E+01          1.9050333023E+01          2.3000000000E+01          3.4330396745E+02          7.0402039674E+04          
2021-08-06                19:33:43.921              217.48175834              5219.562200               1628278423.921            2                         899                       1.9601035626E+00          0.0000000000E+00          1.9601035626E+00          2.0052519691E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5527300444E+00          4.5080889177E+02          3.5913679994E+01          4.2817162050E+01          -8.3517364028E+01         2.0000000000E+00          4.5080889177E+02          3.5913679994E+01          -1.5196045078E+00         4.2367507935E+01          1.9054067306E+01          2.3000000000E+01          3.4336042726E+02          7.0402604273E+04          
2021-08-06                19:33:44.466              217.48176465              5219.562352               1628278424.466            0                         899                       1.9612298480E+00          0.0000000000E+00          1.9612298480E+00          2.0051306083E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.4823372800E+00          4.5076211548E+02          3.5914390564E+01          4.2817169231E+01          -8.3517367949E+01         2.0000000000E+00          4.5076211548E+02          3.5914390564E+01          -1.5103610754E+00         4.2367507935E+01          1.9058975220E+01          2.3000000000E+01          3.4340000000E+02          7.0403153846E+04          
2021-08-06                19:33:44.979              217.48177059              5219.562494               1628278424.979            2                         899                       1.9622875711E+00          0.0000000000E+00          1.9622875711E+00          2.0072097324E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5374605768E+00          4.5075464658E+02          3.5914390564E+01          4.2817177663E+01          -8.3517372165E+01         2.0000000000E+00          4.5075464658E+02          3.5914390564E+01          -1.5103610754E+00         4.2367507935E+01          1.9058975220E+01          2.3000000000E+01          3.4340000000E+02          7.0403659763E+04          
2021-08-06                19:33:45.463              217.48177619              5219.562629               1628278425.463            2                         899                       1.9555231304E+00          0.0000000000E+00          1.9555231304E+00          2.0000366555E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.5233962144E+00          4.5071248825E+02          3.5914390564E+01          4.2817185066E+01          -8.3517375990E+01         2.0000000000E+00          4.5071248825E+02          3.5914390564E+01          -1.5155052653E+00         4.2367507935E+01          1.9058632910E+01          2.3000000000E+01          3.4340000000E+02          7.0404148504E+04          
2021-08-06                19:33:45.979              217.48178216              5219.562772               1628278425.979            0                         899                       1.9642801129E+00          0.0000000000E+00          1.9642801129E+00          2.0083209168E+00          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          2.4863000640E+00          4.5077551270E+02          3.5914390564E+01          4.2817191498E+01          -8.3517379665E+01         2.0000000000E+00          4.5077551270E+02          3.5914390564E+01          -1.9270404577E+00         4.2367507935E+01          1.9031248093E+01          2.3000000000E+01          3.4340000000E+02          7.0404699786E+04          
